Sample,Project,Strain,Treatment,Group,Run
HPLOH_Crash_Wild_Starve_B_Crash4,Crash,Wild,Starve,B,Crash4
HPLOH_NoCrash_NA_Larvac__NoCrash,NoCrash,"NA",Larvac,,NoCrash
HPLOH_Crash_Wild_Pre_A_Crash4,Crash,Wild,Pre,A,Crash4
HPLOH_NoCrash_Aqua_Starve_C_NoCrash,NoCrash,Aqua,Starve,C,NoCrash
HPLOH_NoCrash_Aqua_Starve_A_NoCrash,NoCrash,Aqua,Starve,A,NoCrash
HPLOH_NoCrash_Aqua_Fed_A_NoCrash,NoCrash,Aqua,Fed,A,NoCrash
HPLOH_NoCrash_Wild_Starve_A_NoCrash,NoCrash,Wild,Starve,A,NoCrash
HPLOH_NoCrash_Wild_Fed_C_NoCrash,NoCrash,Wild,Fed,C,NoCrash
HPLOH_NoCrash_Wild_Fed_B_NoCrash,NoCrash,Wild,Fed,B,NoCrash
HPLOH_Crash_NEH_Starve_B_Crash4,Crash,NEH,Starve,B,Crash4
HPLOH_Crash_NEH_Pre_C_Crash4,Crash,NEH,Pre,C,Crash4
HPLOH_Crash_NEH_Pre_A_Crash4,Crash,NEH,Pre,A,Crash4
HPLOH_Crash_Wild_Pre_C_Crash4,Crash,Wild,Pre,C,Crash4
HPLOH_Crash_Wild_Pre_B_Crash4,Crash,Wild,Pre,B,Crash4
HPLOH_Blank_NA_NA_3MAR2020_Crash4,Blank,"NA","NA",3MAR2020,Crash4
HPLOH_Blank_NA_NA_26FEB2020_Crash4,Blank,"NA","NA",26FEB2020,Crash4
HPLOH_Crash_NEH_Fed_A_Crash4,Crash,NEH,Fed,A,Crash4
HPLOH_Mock_Staggered_NA__NoCrash,Mock,Staggered,"NA",,NoCrash
HPLOH_NoCrash_Aqua_Starve_B_NoCrash,NoCrash,Aqua,Starve,B,NoCrash
HPLOH_Crash_Wild_Fed_C_Crash4,Crash,Wild,Fed,C,Crash4
HPLOH_Crash_NEH_Fed_C_Crash4,Crash,NEH,Fed,C,Crash4
HPLOH_Crash_Wild_Fed_B_Crash4,Crash,Wild,Fed,B,Crash4
HPLOH_NoCrash_Aqua_Fed_C_NoCrash,NoCrash,Aqua,Fed,C,NoCrash
HPLOH_NoCrash_Aqua_Fed_B_NoCrash,NoCrash,Aqua,Fed,B,NoCrash
HPLOH_Crash_Wild_Starve_A_Crash4,Crash,Wild,Starve,A,Crash4
HPLOH_NoCrash_Wild_Fed_A_NoCrash,NoCrash,Wild,Fed,A,NoCrash
HPLOH_Crash_NEH_Pre_B_Crash4,Crash,NEH,Pre,B,Crash4
HPLOH_NoCrash_Wild_Fed_A_Crash4,NoCrash,Wild,Fed,A,Crash4
HPLOH_NoCrash_Wild_Starve_C_NoCrash,NoCrash,Wild,Starve,C,NoCrash
HPLOH_NoCrash_Wild_Starve_B_NoCrash,NoCrash,Wild,Starve,B,NoCrash
HPLOH_Crash_Wild_Starve_C_Crash4,Crash,Wild,Starve,C,Crash4
HPLOH_NoCrash_Wild_Starve_A_Crash4,NoCrash,Wild,Starve,A,Crash4
HPLOH_Crash_NEH_Starve_C_Crash4,Crash,NEH,Starve,C,Crash4
HPLOH_Mock_Even_NA__NoCrash,Mock,Even,"NA",,NoCrash
HPLOH_Crash_Wild_Fed_A_Crash4,Crash,Wild,Fed,A,Crash4
